material_id,formula_pretty,chemsys,nsites,volume,s3_key,size_bytes,size_mb
mp-1229032,AgPt4,Ag-Pt,5,78.08,chgcars/mp-1802020.json.gz,82978062,82.98
mp-989737,Ag,Ag,3,54.15,chgcars/mp-1792728.json.gz,20067351,20.07
mp-1183205,Ag3Au,Ag-Au,8,139.45,chgcars/mp-1778391.json.gz,9325088,9.33
mp-985287,AgAu3,Ag-Au,8,140.61,chgcars/mp-1874828.json.gz,9317431,9.32
mp-1183224,AgAu3,Ag-Au,4,70.0,chgcars/mp-1782883.json.gz,7377185,7.38
mp-1183214,Ag3Au,Ag-Au,4,69.52,chgcars/mp-1800193.json.gz,7353437,7.35
mp-1229015,AgPt,Ag-Pt,2,32.12,chgcars/mp-1781501.json.gz,7277275,7.28
mp-1219709,PtAu,Au-Pt,2,32.72,chgcars/mp-1792135.json.gz,7276590,7.28
mp-1229092,AgAu,Ag-Au,2,34.82,chgcars/mp-1792509.json.gz,7093770,7.09
mp-8566,Ag,Ag,4,69.46,chgcars/mp-2245173.json.gz,4518047,4.52
mp-1238808,Au,Au,2,39.1,chgcars/mp-1877677.json.gz,2823579,2.82
mp-1183209,AgPt,Ag-Pt,2,32.16,chgcars/mp-1881093.json.gz,2366666,2.37
mp-1008634,Au,Au,2,35.3,chgcars/mp-1790952.json.gz,2351607,2.35
mp-10597,Ag,Ag,2,34.77,chgcars/mp-2290334.json.gz,2299461,2.3
mp-1183227,AgAu,Ag-Au,2,35.04,chgcars/mp-1792156.json.gz,2261116,2.26
mp-12065,Ag3Pt,Ag-Pt,4,66.73,chgcars/mp-2296572.json.gz,2180347,2.18
mp-863750,AgAu3,Ag-Au,4,70.02,chgcars/mp-1799658.json.gz,2102450,2.1
mp-1183137,Ag3Au,Ag-Au,4,69.48,chgcars/mp-1801931.json.gz,2096636,2.1
mp-30353,AgPt3,Ag-Pt,4,64.33,chgcars/mp-2289566.json.gz,1729972,1.73
mp-2647022,Pt,Pt,2,31.63,chgcars/mp-2647045.json.gz,1666529,1.67
mp-1186779,PtAu,Au-Pt,2,32.82,chgcars/mp-1929446.json.gz,1661567,1.66
mp-2647062,Au,Au,1,18.21,chgcars/mp-2647080.json.gz,1317011,1.32
mp-2646971,Ag,Ag,1,18.15,chgcars/mp-2646971.json.gz,1311057,1.31
mp-81,Au,Au,1,18.14,chgcars/mp-2297474.json.gz,1298127,1.3
mp-124,Ag,Ag,1,17.29,chgcars/mp-2290189.json.gz,1284691,1.28
mp-126,Pt,Pt,1,15.33,chgcars/mp-2294633.json.gz,1243817,1.24
mp-2646979,Pt,Pt,1,15.9,chgcars/mp-2646979.json.gz,741678,0.74
