material_id,formula_pretty,chemsys,nelements,nsites,spacegroup_symbol,spacegroup_number,crystal_system,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_metal,is_magnetic,ordering,total_magnetization,theoretical,has_charge_density
mp-10597,Ag,Ag,1,2,P6_3/mmc,194,Hexagonal,34.77213082803506,10.302466724280304,17.38606541401753,-21.34820847,0.007668675000001457,0.007668675000001457,False,0.0,True,False,Unknown,1e-06,False,True
mp-124,Ag,Ag,1,1,Fm-3m,225,Cubic,17.28523120082949,10.362566650857447,17.28523120082949,-21.35375043,0.0021267149999992796,0.0021267149999992796,False,0.0,True,False,Unknown,9e-07,False,True
mp-2646971,Ag,Ag,1,1,Im-3m,229,Cubic,18.153849863758662,9.866742412123847,18.153849863758662,-21.321539981666668,0.034337163333333365,0.034337163333333365,False,0.0,True,False,NM,2.2e-06,True,True
mp-8566,Ag,Ag,1,4,P6_3/mmc,194,Hexagonal,69.45695019121693,10.315417529906261,17.364237547804233,-21.355877145,0.0,0.0,True,0.0,True,False,Unknown,1.2e-05,False,True
mp-989737,Ag,Ag,1,3,R-3m,166,Trigonal,54.15478637716398,9.922633198841723,18.05159545905466,-21.34549547,0.010381675000004975,0.010381675000001422,False,0.0,True,False,Unknown,0.0,True,True
mp-1008634,Au,Au,1,2,P6_3/mmc,194,Hexagonal,35.30141737751474,18.530172859515538,17.65070868875737,-50.582851645,0.0021085050000024808,0.0021085050000024808,False,0.0,True,False,Unknown,0.0,True,True
mp-1238808,Au,Au,1,2,C2/m,12,Monoclinic,39.097581250691825,16.730993203823285,19.548790625345912,-50.46657865,0.11838149999999814,0.11838149999999814,False,0.0,True,False,NM,0.0001991,True,True
mp-2647062,Au,Au,1,1,Im-3m,229,Cubic,18.207025965875985,17.963981800686724,18.207025965875985,-50.56307545,0.02188470000000109,0.02188470000000109,False,0.0,True,False,NM,7.4e-06,True,True
mp-81,Au,Au,1,1,Fm-3m,225,Cubic,18.14473805188449,18.02564920807207,18.14473805188449,-50.58496015,0.0,0.0,True,0.0,True,False,Unknown,0.0,False,True
mp-126,Pt,Pt,1,1,Fm-3m,225,Cubic,15.327454053856243,21.134925773252462,15.327454053856243,-51.4877169,0.0,0.0,True,0.0,True,False,Unknown,0.00505,False,True
